KODE MATERIAL,NAMA,SPESIFIKASI
ZBLT001,Timming belt,Timming belt Cummins 3289347
ZBLT002,Timming belt,Timming belt 8PK1650 Optibelt- RB 2G
ZBLT003,Timming belt,Timming belt Power grip 1264-8YU
ZBLT004,Timming Belt,Timming Belt Bando 5PK970 Toyota 99365- 80970 CR
ZBLT005,Timming belt,Timming belt Bando RIB ACE 9PK1360
ZBLT006,Timming belt,Timming belt PK1325
ZBLT007,Timming belt,Timming belt Bando RIB ACE 8PK1315
ZBLT008,Timming belt,Timming belt Bando RIB ACE 8PK1920
ZBLT009,Timming belt,Timming belt Carlifter 5H-4207 DF
ZBLT010,Timming belt,Timming belt Mitsubosi RECMF-1420
ZBLT011,Timming belt,Timming belt PK1310
ZBLT012,Timming belt,Timming belt Bando R-A 8PK1300
ZBLT013,Timming Belt,Timming Belt ( MBL VARI STAR ) 1422V270
ZBLT014,Timming Belt,Timming Belt ( Bando RPF ) 5370 17x915Li
ZBLT015,Timming belt,Timming belt Mitsuboshi || RECMF -8480
ZBLT016,Timming belt,Timming belt Mutsuboshi RECMP - 8830
ZBLT017,Timming belt,Timming belt Carterpilar 5H-4207 DF
ZBLT018,Timming belt,Timming belt Bando RIB ACE 8PK1380
ZBLT019,Timming belt,Timming belt Bando RPF 3430 12.5X 1125 La
ZBLT020,Timming Belt,Timming Belt Carterpilar 5H-7448 DF
ZBLT021,Timming belt,Timming belt 3VX670
ZBLT022,Timming Belt,Timming Belt Carterpilar 5H-4207 DF
ZBLT023,Timming belt,Timming belt Carterpilar 5H-4207
D98MA0017,BELT,TIMING BELT || HTD-624-8M || TEETH: 78 || WIDTH: 30 mm
ZBLT024,Timming belt,Timming belt Yanmar 25163- 004801
ZBLT025,Timming belt,Timming belt Bando RIB AC 8PK1300
ZBLT026,Timming belt,Timming belt Comet industries 302642 3902 17
ZBLT027,Timming belt,Timming belt Power grip 880-8YU
D98MA0014,BELT,TIMING BELT || TYPE: 38 x 1063
ZBLT029,Timming belt,Timming belt Tidak ada spec
ZBLT030,Timming belt,Timming belt A40 Bando RPF 340 12.5 X 1035La
ZBLT031,Timming belt,Timming belt Inggersoll Rand Comm No 39204714
ZBLT032,Timming,Timming Bando Jk91840-08700
ZBLT033,Timming belt,Timming belt Gaido PowerBand ( 25 X 900 )
D98MA018750,BELT,TIMING BELT || OPTIBELT ZR || 187 L || TEETH :50
ZBLT034,Timming belt,TIMING BELT || OPTIBELT ZR 187L 12
ZBLT035,Timming belt,Timming belt Bando synchro belt 90XL 0550 HL 914590
ZBLT036,Timming belt,Timming belt Gates made in U.K power grip 140XL
ZBLT037,Timming belt,Timming belt Commins 3289347 made in USA
ZBLT038,V Belt,V Belt Bando M-24
ZBLT039,V belt,V belt Mitsuboshi M-21
ZBLT040,V belt,V belt Bando M-27
ZBLT041,V belt,V belt Mitsuboshi MF 1380 9.5 x 960la 14 B9 ( setara FM)
ZBLT042,V belt,V belt Bando M-28
ZBLT043,V belt,V belt Mitsuboshi A-32
ZBLT044,V belt,V belt Bando A-32
ZBLT045,V belt,V belt Bando A-30
ZBLT046,V belt,V belt Bando M19
ZBLT047,V belt,V belt A-27
ZBLT048,V belt,V belt Bando A-19
ZBLT049,V Belt,V Belt Bando A-31
ZBLT050,V belt,V belt Bando A-33
ZBLT051,V belt,V belt Mitsuboshi set free A-36
ZBLT052,V Belt,V Belt Mitsuboshi set free A-39
ZBLT053,VBelt,VBelt Bando B-42
ZBLT054,V Belt,V Belt Mitsuboshi SET FREE B-32
ZBLT055,V Belt,V Belt Bando A-95
ZBLT056,V-Belt,V-Belt B-42
ZBLT057,V Belt,V Belt Bando A-31
ZBLT058,V-Belt,V-Belt 5470 17x1170 Li
D98MA1225,V-Belt,V-Belt FM - 48 : B2480 9.5x1225LA
ZBLT059,V Belt,V Belt Mitsuboshi SET FREE A-97
D98MA0020,BELT,A-48 || V BELT || LENGTH: 48 || TOP WIDTH: 1/2 || TOP HEIGHT: 5/16 || MATERIAL: RUBBER
ZBLT060,V-Belt,V-Belt A-67
ZBLT061,V-Belt,V-Belt Set free A-64
ZBLT062,V Belt,V Belt Mitsuboshi SET FREE A-32
B08MA0280,V-Belt,V-Belt M-28
ZBLT063,V-Belt,V-Belt M-27
ZBLT064,V-Belt,V-Belt A-63
ZBLT065,V-Belt,V-Belt A-64
ZBLT066,V-Belt,V-Belt A-68
ZBLT067,V Belt,V Belt Mitsuboshi L 210/M21 A9
ZBLT068,V-Belt,V-Belt A-85
ZBLT069,V-Belt,V-Belt MF 1380 9.5X960La
